LFS,LFW,Load,T,P,W,DOY,N,Y
0.0,0.523684134,9.084185,76,1,1,1,1,1
0.0,0.521007665,9.274655,77,1,1,1,1,1
0.0,0.528807281,9.65214,78,1,1,1,1,1
0.0,0.521471065,10.7066325,79,1,1,1,1,1
0.0,0.538228797,11.7746675,80,1,1,1,1,1
0.002589086,0.566491439,11.9840525,81,1,1,1,1,1
0.034984828,0.55988751,12.0686225,82,1,1,1,1,1
0.080153279,0.534627434,11.948705,83,1,1,1,1,1
0.125180339,0.509517057,11.91155,84,1,1,1,1,1
0.177805323,0.535286301,11.5543125,85,1,1,1,1,1
0.134735741,0.541348643,11.5984,86,1,1,1,1,1
0.085245091,0.548809767,11.561175,87,1,1,1,1,1
0.03799301,0.56121478,11.5949525,88,1,1,1,1,1
0.004177419,0.568406063,11.856175,89,1,1,1,1,1
0.0,0.567973175,12.4525925,90,1,1,1,1,1
0.0,0.552749622,12.1863975,91,1,1,1,1,1
0.0,0.56988494,11.631075,92,1,1,1,1,1
0.0,0.586661742,11.201305,93,1,1,1,1,1
0.0,0.596311144,10.7043125,94,1,1,1,1,1
0.0,0.579186316,10.848705,95,1,1,1,1,1
0.0,0.553954844,10.84439,96,1,1,1,1,1
0.0,0.477506213,10.1777975,97,1,1,1,1,1
0.0,0.479877563,9.810715,98,1,1,1,1,1
0.0,0.468125697,9.432965,99,1,1,1,1,1
0.0,0.447484366,9.3648575,100,1,1,1,1,1
0.0,0.41838932,9.41163,101,1,1,1,1,1
0.0,0.414389395,9.8403025,102,1,1,1,1,1
0.0,0.385979914,11.001755,103,1,1,1,1,1
0.0,0.340736421,12.08655,104,1,1,1,1,1
0.007526805,0.30168876,12.2389725,105,1,1,1,1,1
0.071336165,0.232343691,12.2149625,106,1,1,1,1,1
0.173470425,0.194043573,12.1280625,107,1,1,1,1,1
0.260488421,0.164611942,12.089645,108,1,1,1,1,1
0.241183732,0.181091252,11.9610875,109,1,1,1,1,1
0.160832334,0.168484098,12.1483475,110,1,1,1,1,1
0.079033995,0.168578494,12.1528625,111,1,1,1,1,1
0.033663192,0.157883104,12.32996,112,1,1,1,1,1
0.003377326,0.158914789,12.50289,113,1,1,1,1,1
0.0,0.146505963,13.1076925,114,1,1,1,1,1
0.0,0.158248294,13.0290825,115,1,1,1,1,1
0.0,0.142144662,12.465375,116,1,1,1,1,1
0.0,0.156791348,11.795385,117,1,1,1,1,1
0.0,0.153706782,11.348085,118,1,1,1,1,1
0.0,0.159625146,11.3587525,119,1,1,1,1,1
0.0,0.188109953,11.10417,120,1,1,1,1,1
0.0,0.128285181,10.85938,121,1,1,1,1,1
0.0,0.122062926,10.4627475,122,1,1,1,1,1
0.0,0.126506458,10.13552,123,1,1,1,1,1
0.0,0.122658743,10.0773275,124,1,1,1,1,1
0.0,0.114491896,10.06239,125,1,1,1,1,1
0.0,0.110093105,10.47394,126,1,1,1,1,1
0.0,0.107524324,11.5201475,127,1,1,1,1,1
0.0,0.10858501,12.50683,128,1,1,1,1,1
0.002735558,0.098350262,12.68904,129,1,1,1,1,1
0.020897256,0.079997774,12.9425025,130,1,1,1,1,1
0.052654617,0.068210191,12.95675,131,1,1,1,1,1
0.088978861,0.070588004,13.123685,132,1,1,1,1,1
0.118383354,0.070207161,12.9227125,133,1,1,1,1,1
0.130535462,0.068141442,12.9113275,134,1,1,1,1,1
0.120721828,0.071693431,12.721185,135,1,1,1,1,1
0.087225428,0.081718661,12.6344,136,1,1,1,1,1
0.043672404,0.101823682,12.5203075,137,1,1,1,1,1
0.006206016,0.119672017,12.5786225,138,1,1,1,1,1
0.0,0.12361467,13.062725,139,1,1,1,1,1
0.0,0.133633352,12.6530875,140,1,1,1,1,1
0.0,0.147751826,12.287485,141,1,1,1,1,1
0.0,0.15413122,11.7439775,142,1,1,1,1,1
0.0,0.133632261,11.81946,143,1,1,1,1,1
0.0,0.129919859,11.7214425,144,1,1,1,1,1
0.0,0.477506213,10.1777975,145,1,1,1,1,1
0.0,0.479877563,9.810715,146,1,1,1,1,1
0.0,0.468125697,9.432965,147,1,1,1,1,1
0.0,0.447484366,9.3648575,148,1,1,1,1,1
0.0,0.41838932,9.41163,149,1,1,1,1,1
0.0,0.414389395,9.8403025,150,1,1,1,1,1
0.0,0.385979914,11.001755,151,1,1,1,1,1
0.0,0.340736421,12.08655,152,1,1,1,1,1
0.007526805,0.30168876,12.2389725,153,1,1,1,1,1
0.071336165,0.232343691,12.2149625,154,1,1,1,1,1
0.173470425,0.194043573,12.1280625,155,1,1,1,1,1
0.260488421,0.164611942,12.089645,156,1,1,1,1,1
0.241183732,0.181091252,11.9610875,157,1,1,1,1,1
0.160832334,0.168484098,12.1483475,158,1,1,1,1,1
0.079033995,0.168578494,12.1528625,159,1,1,1,1,1
0.033663192,0.157883104,12.32996,160,1,1,1,1,1
0.003377326,0.158914789,12.50289,161,1,1,1,1,1
0.0,0.146505963,13.1076925,162,1,1,1,1,1
0.0,0.158248294,13.0290825,163,1,1,1,1,1
0.0,0.142144662,12.465375,164,1,1,1,1,1
0.0,0.156791348,11.795385,165,1,1,1,1,1
0.0,0.153706782,11.348085,166,1,1,1,1,1
0.0,0.159625146,11.3587525,167,1,1,1,1,1
0.0,0.188109953,11.10417,168,1,1,1,1,1
0.0,0.093027105,9.9701275,169,1,1,1,1,1
0.0,0.084460877,9.4553275,170,1,1,1,1,1
0.0,0.078584467,9.093525,171,1,1,1,1,1
0.0,0.070580803,8.9748125,172,1,1,1,1,1
0.0,0.070770549,9.08538,173,1,1,1,1,1
0.0,0.077349687,9.519655,174,1,1,1,1,1
0.0,0.067291233,10.642985,175,1,1,1,1,1
0.0,0.06622999,11.5534575,176,1,1,1,1,1
0.006719092,0.064961837,11.7102275,177,1,1,1,1,1
0.031396684,0.051982819,11.9502275,178,1,1,1,1,1
0.059757246,0.03616905,11.9972675,179,1,1,1,1,1
0.083786296,0.032760294,12.1919,180,1,1,1,1,1
0.09393182,0.044446368,11.994265,181,1,1,1,1,1
0.07888583,0.025324914,11.9523025,182,1,1,1,1,1
0.054386883,0.016820663,11.8986275,183,1,1,1,1,1
0.025229614,0.025322054,11.9371075,184,1,1,1,1,1
0.004343364,0.023503733,11.9287275,185,1,1,1,1,1
0.0,0.015727,12.4892725,186,1,1,1,1,1
0.0,0.022806725,12.481305,187,1,1,1,1,1
0.0,0.044990816,12.06418,188,1,1,1,1,1
0.0,0.059442036,11.4894125,189,1,1,1,1,1
0.0,0.057170803,10.906585,190,1,1,1,1,1
0.0,0.068740551,10.796765,191,1,1,1,1,1
0.0,0.089207391,10.635725,192,1,1,1,1,1
0.0,0.158632982,11.024285,193,1,1,1,1,1
0.0,0.166658592,10.5506775,194,1,1,1,1,1
0.0,0.176514986,10.0569825,195,1,1,1,1,1
0.0,0.182425507,9.827125,196,1,1,1,1,1
0.0,0.191975919,9.65936,197,1,1,1,1,1
0.0,0.199867664,10.0733075,198,1,1,1,1,1
0.0,0.212893504,11.06534,199,1,1,1,1,1
0.0,0.236626107,11.9292375,200,1,1,1,1,1
0.005092659,0.254420142,12.1747925,201,1,1,1,1,1
0.039710883,0.272866934,12.304415,202,1,1,1,1,1
0.077713206,0.298412472,12.33486,203,1,1,1,1,1
0.099540095,0.31264566,12.46804,204,1,1,1,1,1
0.112555795,0.302544482,12.189935,205,1,1,1,1,1
0.098751008,0.291585285,12.1607175,206,1,1,1,1,1
0.079463252,0.29735429,11.9822725,207,1,1,1,1,1
0.05928481,0.283321264,11.956255,208,1,1,1,1,1
0.022193493,0.323036244,11.84756,209,1,1,1,1,1
0.000872059,0.352992998,12.23219,210,1,1,1,1,1
0.0,0.39477972,12.47182,211,1,1,1,1,1
0.0,0.468746653,12.074095,212,1,1,1,1,1
0.0,0.529836913,11.58644,213,1,1,1,1,1
0.0,0.518528388,10.9747,214,1,1,1,1,1
0.0,0.474551356,10.95216,215,1,1,1,1,1
0.0,0.477501517,10.8215975,216,1,1,1,1,1
0.0,0.477506213,10.1777975,217,1,1,1,1,1
0.0,0.479877563,9.810715,218,1,1,1,1,1
0.0,0.468125697,9.432965,219,1,1,1,1,1
0.0,0.447484366,9.3648575,220,1,1,1,1,1
0.0,0.41838932,9.41163,221,1,1,1,1,1
0.0,0.414389395,9.8403025,222,1,1,1,1,1
0.0,0.385979914,11.001755,223,1,1,1,1,1
0.0,0.340736421,12.08655,224,1,1,1,1,1
0.007526805,0.30168876,12.2389725,225,1,1,1,1,1
0.071336165,0.232343691,12.2149625,226,1,1,1,1,1
0.173470425,0.194043573,12.1280625,227,1,1,1,1,1
0.260488421,0.164611942,12.089645,228,1,1,1,1,1
0.241183732,0.181091252,11.9610875,229,1,1,1,1,1
0.160832334,0.168484098,12.1483475,230,1,1,1,1,1
0.079033995,0.168578494,12.1528625,231,1,1,1,1,1
0.033663192,0.157883104,12.32996,232,1,1,1,1,1
0.003377326,0.158914789,12.50289,233,1,1,1,1,1
0.0,0.146505963,13.1076925,234,1,1,1,1,1
0.0,0.158248294,13.0290825,235,1,1,1,1,1
0.0,0.142144662,12.465375,236,1,1,1,1,1
0.0,0.156791348,11.795385,237,1,1,1,1,1
0.0,0.153706782,11.348085,238,1,1,1,1,1
0.0,0.159625146,11.3587525,239,1,1,1,1,1
0.0,0.188109953,11.10417,240,1,1,1,1,1
0.0,0.542300235,9.98403,241,1,1,1,1,1
0.0,0.550746322,9.56964,242,1,1,1,1,1
0.0,0.545006263,9.2698675,243,1,1,1,1,1
0.0,0.523684134,9.084185,244,1,1,1,1,1
0.0,0.521007665,9.274655,245,1,1,1,1,1
0.0,0.528807281,9.65214,246,1,1,1,1,1
0.0,0.521471065,10.7066325,247,1,1,1,1,1
0.0,0.538228797,11.7746675,248,1,1,1,1,1
0.002589086,0.566491439,11.9840525,249,1,1,1,1,1
0.034984828,0.55988751,12.0686225,250,1,1,1,1,1
0.080153279,0.534627434,11.948705,251,1,1,1,1,1
0.125180339,0.509517057,11.91155,252,1,1,1,1,1
0.177805323,0.535286301,11.5543125,253,1,1,1,1,1
0.134735741,0.541348643,11.5984,254,1,1,1,1,1
0.085245091,0.548809767,11.561175,255,1,1,1,1,1
0.03799301,0.56121478,11.5949525,256,1,1,1,1,1
0.004177419,0.568406063,11.856175,257,1,1,1,1,1
0.0,0.567973175,12.4525925,258,1,1,1,1,1
0.0,0.552749622,12.1863975,259,1,1,1,1,1
0.0,0.56988494,11.631075,260,1,1,1,1,1
0.0,0.586661742,11.201305,261,1,1,1,1,1
0.0,0.596311144,10.7043125,262,1,1,1,1,1
0.0,0.579186316,10.848705,263,1,1,1,1,1
0.0,0.553954844,10.84439,264,1,1,1,1,1
0.0,0.542300235,9.98403,265,1,1,1,1,1
0.0,0.550746322,9.56964,266,1,1,1,1,1
0.0,0.545006263,9.2698675,267,1,1,1,1,1
0.0,0.523684134,9.084185,268,1,1,1,1,1
0.0,0.521007665,9.274655,269,1,1,1,1,1
0.0,0.528807281,9.65214,270,1,1,1,1,1
0.0,0.521471065,10.7066325,271,1,1,1,1,1
0.0,0.538228797,11.7746675,272,1,1,1,1,1
0.002589086,0.566491439,11.9840525,273,1,1,1,1,1
0.034984828,0.55988751,12.0686225,274,1,1,1,1,1
0.080153279,0.534627434,11.948705,275,1,1,1,1,1
0.125180339,0.509517057,11.91155,276,1,1,1,1,1
0.177805323,0.535286301,11.5543125,277,1,1,1,1,1
0.134735741,0.541348643,11.5984,278,1,1,1,1,1
0.085245091,0.548809767,11.561175,279,1,1,1,1,1
0.03799301,0.56121478,11.5949525,280,1,1,1,1,1
0.004177419,0.568406063,11.856175,281,1,1,1,1,1
0.0,0.567973175,12.4525925,282,1,1,1,1,1
0.0,0.552749622,12.1863975,283,1,1,1,1,1
0.0,0.56988494,11.631075,284,1,1,1,1,1
0.0,0.586661742,11.201305,285,1,1,1,1,1
0.0,0.596311144,10.7043125,286,1,1,1,1,1
0.0,0.579186316,10.848705,287,1,1,1,1,1
0.0,0.553954844,10.84439,288,1,1,1,1,1
0.0,0.542300235,9.98403,289,1,1,1,1,1
0.0,0.550746322,9.56964,290,1,1,1,1,1
0.0,0.545006263,9.2698675,291,1,1,1,1,1
0.0,0.523684134,9.084185,292,1,1,1,1,1
0.0,0.521007665,9.274655,293,1,1,1,1,1
0.0,0.528807281,9.65214,294,1,1,1,1,1
0.0,0.521471065,10.7066325,295,1,1,1,1,1
0.0,0.538228797,11.7746675,296,1,1,1,1,1
0.002589086,0.566491439,11.9840525,297,1,1,1,1,1
0.034984828,0.55988751,12.0686225,298,1,1,1,1,1
0.080153279,0.534627434,11.948705,299,1,1,1,1,1
0.125180339,0.509517057,11.91155,300,1,1,1,1,1
0.177805323,0.535286301,11.5543125,301,1,1,1,1,1
0.134735741,0.541348643,11.5984,302,1,1,1,1,1
0.085245091,0.548809767,11.561175,303,1,1,1,1,1
0.03799301,0.56121478,11.5949525,304,1,1,1,1,1
0.004177419,0.568406063,11.856175,305,1,1,1,1,1
0.0,0.567973175,12.4525925,306,1,1,1,1,1
0.0,0.552749622,12.1863975,307,1,1,1,1,1
0.0,0.56988494,11.631075,308,1,1,1,1,1
0.0,0.586661742,11.201305,309,1,1,1,1,1
0.0,0.596311144,10.7043125,310,1,1,1,1,1
0.0,0.579186316,10.848705,311,1,1,1,1,1
0.0,0.553954844,10.84439,312,1,1,1,1,1
0.0,0.540339842,10.332905,313,1,1,1,1,1
0.0,0.522327306,9.86812,314,1,1,1,1,1
0.0,0.525294593,9.473585,315,1,1,1,1,1
0.0,0.504928823,9.1147025,316,1,1,1,1,1
0.0,0.521841022,8.97113,317,1,1,1,1,1
0.0,0.54493475,9.0544125,318,1,1,1,1,1
0.0,0.525244057,9.35884,319,1,1,1,1,1
0.0,0.477995358,9.659245,320,1,1,1,1,1
0.000622295,0.501529602,10.222095,321,1,1,1,1,1
0.020957369,0.510219785,10.7931775,322,1,1,1,1,1
0.060026484,0.4960098,10.999385,323,1,1,1,1,1
0.120487303,0.44809842,11.0092525,324,1,1,1,1,1
0.16337062,0.438940069,11.003265,325,1,1,1,1,1
0.124945814,0.394399304,10.77001,326,1,1,1,1,1
0.075823461,0.381745428,10.61406,327,1,1,1,1,1
0.033207689,0.404373849,10.55011,328,1,1,1,1,1
0.002427373,0.419237934,10.86835,329,1,1,1,1,1
0.0,0.436757511,11.4536825,330,1,1,1,1,1
0.0,0.442295429,11.2390725,331,1,1,1,1,1
0.0,0.485872207,10.8860875,332,1,1,1,1,1
0.0,0.453082355,10.33457,333,1,1,1,1,1
0.0,0.413735295,10.07504,334,1,1,1,1,1
0.0,0.380813861,10.151905,335,1,1,1,1,1
0.0,0.364869462,10.241405,336,1,1,1,1,1
0.0,0.414815609,8.939045,337,1,1,1,1,1
0.0,0.397501987,8.547415,338,1,1,1,1,1
0.0,0.344615252,8.295295,339,1,1,1,1,1
0.0,0.32155585,8.1496725,340,1,1,1,1,1
0.0,0.272753901,8.2120525,341,1,1,1,1,1
0.0,0.261223247,8.690465,342,1,1,1,1,1
0.0,0.23152559,9.8918775,343,1,1,1,1,1
0.007875629,0.184990106,11.073725,344,1,1,1,1,1
0.051338908,0.196100268,11.284665,345,1,1,1,1,1
0.111322211,0.211606057,11.42158,346,1,1,1,1,1
0.176885003,0.189728993,11.3781625,347,1,1,1,1,1
0.223110933,0.164767362,11.4999925,348,1,1,1,1,1
0.262718523,0.102682229,11.2287925,349,1,1,1,1,1
0.268713721,0.075379759,11.1303,350,1,1,1,1,1
0.22710632,0.050910133,11.0163875,351,1,1,1,1,1
0.147201959,0.034715919,11.045335,352,1,1,1,1,1
0.065680477,0.027601868,11.04346,353,1,1,1,1,1
0.009499523,0.026984954,11.22436,354,1,1,1,1,1
0.0,0.03165805,11.4253125,355,1,1,1,1,1
0.0,0.051709165,11.67596,356,1,1,1,1,1
0.0,0.057527411,11.181085,357,1,1,1,1,1
0.0,0.056064745,10.5647375,358,1,1,1,1,1
0.0,0.056251631,10.159025,359,1,1,1,1,1
0.0,0.069920028,9.6761775,360,1,1,1,1,1
0.0,0.128285181,10.85938,361,1,1,1,1,1
0.0,0.122062926,10.4627475,362,1,1,1,1,1
0.0,0.126506458,10.13552,363,1,1,1,1,1
0.0,0.122658743,10.0773275,364,1,1,1,1,1
0.0,0.114491896,10.06239,365,1,1,1,1,1
0.0,0.110093105,10.47394,366,1,1,1,1,1
0.0,0.107524324,11.5201475,367,1,1,1,1,1
0.0,0.10858501,12.50683,368,1,1,1,1,1
0.002735558,0.098350262,12.68904,369,1,1,1,1,1
0.020897256,0.079997774,12.9425025,370,1,1,1,1,1
0.052654617,0.068210191,12.95675,371,1,1,1,1,1
0.088978861,0.070588004,13.123685,372,1,1,1,1,1
0.118383354,0.070207161,12.9227125,373,1,1,1,1,1
0.130535462,0.068141442,12.9113275,374,1,1,1,1,1
0.120721828,0.071693431,12.721185,375,1,1,1,1,1
0.087225428,0.081718661,12.6344,376,1,1,1,1,1
0.043672404,0.101823682,12.5203075,377,1,1,1,1,1
0.006206016,0.119672017,12.5786225,378,1,1,1,1,1
0.0,0.12361467,13.062725,379,1,1,1,1,1
0.0,0.133633352,12.6530875,380,1,1,1,1,1
0.0,0.147751826,12.287485,381,1,1,1,1,1
0.0,0.15413122,11.7439775,382,1,1,1,1,1
0.0,0.133632261,11.81946,383,1,1,1,1,1
0.0,0.129919859,11.7214425,384,1,1,1,1,1
0.0,0.128285181,10.85938,385,1,1,1,1,1
0.0,0.122062926,10.4627475,386,1,1,1,1,1
0.0,0.126506458,10.13552,387,1,1,1,1,1
0.0,0.122658743,10.0773275,388,1,1,1,1,1
0.0,0.114491896,10.06239,389,1,1,1,1,1
0.0,0.110093105,10.47394,390,1,1,1,1,1
0.0,0.107524324,11.5201475,391,1,1,1,1,1
0.0,0.10858501,12.50683,392,1,1,1,1,1
0.002735558,0.098350262,12.68904,393,1,1,1,1,1
0.020897256,0.079997774,12.9425025,394,1,1,1,1,1
0.052654617,0.068210191,12.95675,395,1,1,1,1,1
0.088978861,0.070588004,13.123685,396,1,1,1,1,1
0.118383354,0.070207161,12.9227125,397,1,1,1,1,1
0.130535462,0.068141442,12.9113275,398,1,1,1,1,1
0.120721828,0.071693431,12.721185,399,1,1,1,1,1
0.087225428,0.081718661,12.6344,400,1,1,1,1,1
0.043672404,0.101823682,12.5203075,401,1,1,1,1,1
0.006206016,0.119672017,12.5786225,402,1,1,1,1,1
0.0,0.12361467,13.062725,403,1,1,1,1,1
0.0,0.133633352,12.6530875,404,1,1,1,1,1
0.0,0.147751826,12.287485,405,1,1,1,1,1
0.0,0.15413122,11.7439775,406,1,1,1,1,1
0.0,0.133632261,11.81946,407,1,1,1,1,1
0.0,0.129919859,11.7214425,408,1,1,1,1,1
0.0,0.128285181,10.85938,409,1,1,1,1,1
0.0,0.122062926,10.4627475,410,1,1,1,1,1
0.0,0.126506458,10.13552,411,1,1,1,1,1
0.0,0.122658743,10.0773275,412,1,1,1,1,1
0.0,0.114491896,10.06239,413,1,1,1,1,1
0.0,0.110093105,10.47394,414,1,1,1,1,1
0.0,0.107524324,11.5201475,415,1,1,1,1,1
0.0,0.10858501,12.50683,416,1,1,1,1,1
0.002735558,0.098350262,12.68904,417,1,1,1,1,1
0.020897256,0.079997774,12.9425025,418,1,1,1,1,1
0.052654617,0.068210191,12.95675,419,1,1,1,1,1
0.088978861,0.070588004,13.123685,420,1,1,1,1,1
0.118383354,0.070207161,12.9227125,421,1,1,1,1,1
0.130535462,0.068141442,12.9113275,422,1,1,1,1,1
0.120721828,0.071693431,12.721185,423,1,1,1,1,1
0.087225428,0.081718661,12.6344,424,1,1,1,1,1
0.043672404,0.101823682,12.5203075,425,1,1,1,1,1
0.006206016,0.119672017,12.5786225,426,1,1,1,1,1
0.0,0.12361467,13.062725,427,1,1,1,1,1
0.0,0.133633352,12.6530875,428,1,1,1,1,1
0.0,0.147751826,12.287485,429,1,1,1,1,1
0.0,0.15413122,11.7439775,430,1,1,1,1,1
0.0,0.133632261,11.81946,431,1,1,1,1,1
0.0,0.129919859,11.7214425,432,1,1,1,1,1
0.0,0.128285181,10.85938,433,1,1,1,1,1
0.0,0.122062926,10.4627475,434,1,1,1,1,1
0.0,0.126506458,10.13552,435,1,1,1,1,1
0.0,0.122658743,10.0773275,436,1,1,1,1,1
0.0,0.114491896,10.06239,437,1,1,1,1,1
0.0,0.110093105,10.47394,438,1,1,1,1,1
0.0,0.107524324,11.5201475,439,1,1,1,1,1
0.0,0.10858501,12.50683,440,1,1,1,1,1
0.002735558,0.098350262,12.68904,441,1,1,1,1,1
0.020897256,0.079997774,12.9425025,442,1,1,1,1,1
0.052654617,0.068210191,12.95675,443,1,1,1,1,1
0.088978861,0.070588004,13.123685,444,1,1,1,1,1
0.118383354,0.070207161,12.9227125,445,1,1,1,1,1
0.130535462,0.068141442,12.9113275,446,1,1,1,1,1
0.120721828,0.071693431,12.721185,447,1,1,1,1,1
0.087225428,0.081718661,12.6344,448,1,1,1,1,1
0.043672404,0.101823682,12.5203075,449,1,1,1,1,1
0.006206016,0.119672017,12.5786225,450,1,1,1,1,1
0.0,0.12361467,13.062725,451,1,1,1,1,1
0.0,0.133633352,12.6530875,452,1,1,1,1,1
0.0,0.147751826,12.287485,453,1,1,1,1,1
0.0,0.15413122,11.7439775,454,1,1,1,1,1
0.0,0.133632261,11.81946,455,1,1,1,1,1
0.0,0.129919859,11.7214425,456,1,1,1,1,1
0.0,0.158632982,11.024285,457,1,1,1,1,1
0.0,0.166658592,10.5506775,458,1,1,1,1,1
0.0,0.176514986,10.0569825,459,1,1,1,1,1
0.0,0.182425507,9.827125,460,1,1,1,1,1
0.0,0.191975919,9.65936,461,1,1,1,1,1
0.0,0.199867664,10.0733075,462,1,1,1,1,1
0.0,0.212893504,11.06534,463,1,1,1,1,1
0.0,0.236626107,11.9292375,464,1,1,1,1,1
0.005092659,0.254420142,12.1747925,465,1,1,1,1,1
0.039710883,0.272866934,12.304415,466,1,1,1,1,1
0.077713206,0.298412472,12.33486,467,1,1,1,1,1
0.099540095,0.31264566,12.46804,468,1,1,1,1,1
0.112555795,0.302544482,12.189935,469,1,1,1,1,1
0.098751008,0.291585285,12.1607175,470,1,1,1,1,1
0.079463252,0.29735429,11.9822725,471,1,1,1,1,1
0.05928481,0.283321264,11.956255,472,1,1,1,1,1
0.022193493,0.323036244,11.84756,473,1,1,1,1,1
0.000872059,0.352992998,12.23219,474,1,1,1,1,1
0.0,0.39477972,12.47182,475,1,1,1,1,1
0.0,0.468746653,12.074095,476,1,1,1,1,1
0.0,0.529836913,11.58644,477,1,1,1,1,1
0.0,0.518528388,10.9747,478,1,1,1,1,1
0.0,0.474551356,10.95216,479,1,1,1,1,1
0.0,0.477501517,10.8215975,480,1,1,1,1,1
0.0,0.414815609,8.939045,481,1,1,1,1,1
0.0,0.397501987,8.547415,482,1,1,1,1,1
0.0,0.344615252,8.295295,483,1,1,1,1,1
0.0,0.32155585,8.1496725,484,1,1,1,1,1
0.0,0.272753901,8.2120525,485,1,1,1,1,1
0.0,0.261223247,8.690465,486,1,1,1,1,1
0.0,0.23152559,9.8918775,487,1,1,1,1,1
0.007875629,0.184990106,11.073725,488,1,1,1,1,1
0.051338908,0.196100268,11.284665,489,1,1,1,1,1
0.111322211,0.211606057,11.42158,490,1,1,1,1,1
0.176885003,0.189728993,11.3781625,491,1,1,1,1,1
0.223110933,0.164767362,11.4999925,492,1,1,1,1,1
0.262718523,0.102682229,11.2287925,493,1,1,1,1,1
0.268713721,0.075379759,11.1303,494,1,1,1,1,1
